@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data
0, 13, 10, 10, 14, 18, 7, 16, 15, North, -8, -9, North
0, 11, 9, 10, 13, 18, 8, 16, 15, North, -9, -10, North
0, 10, 7, 8, 12, 17, 8, 17, 15, North, -10, -11, West
0, 10, 8, 8, 12, 16, 8, 17, 15, North, -11, -12, West
0, 10, 9, 7, 11, 15, 8, 15, 15, North, -12, -13, West
0, 10, 9, 7, 9, 14, 8, 14, 15, North, -13, -14, West
0, 9, 9, 7, 11, 13, 8, 13, 15, North, -14, -15, West
0, 9, 10, 8, 12, 12, 8, 13, 15, North, -15, -16, West
0, 9, 12, 9, 14, 11, 8, 13, 15, North, -16, -17, West
0, 9, 12, 7, 13, 12, 8, 12, 15, North, -17, -18, East
0, 9, 11, 6, 11, 12, 9, 12, 15, North, -18, -19, North
0, 7, 9, 6, 9, 12, 10, 13, 15, North, -19, -20, North
0, 6, 7, 4, 7, 12, 11, 12, 15, North, -20, -21, North
0, 7, 9, 6, 9, 11, 11, 13, 15, North, -21, -22, West
0, 9, 9, 8, 10, 10, 11, 13, 16, North, -22, -23, West
0, 9, 10, 10, 11, 9, 11, 13, 16, North, -23, -24, West
0, 10, 10, 10, 12, 8, 11, 13, 16, East, -24, -25, West
0, 12, 12, 12, 12, 7, 11, 14, 16, East, -25, -26, West
0, 10, 10, 10, 10, 8, 11, 13, 16, East, -26, -27, East
0, 10, 9, 10, 10, 8, 12, 14, 15, East, -27, -28, North
0, 8, 9, 8, 8, 8, 13, 13, 16, East, -28, -29, North
0, 8, 7, 6, 6, 8, 14, 13, 15, East, -29, -30, North
0, 6, 7, 6, 5, 8, 15, 13, 15, East, -30, -31, North
0, 7, 7, 6, 7, 7, 15, 13, 15, East, -31, -32, West
