@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data
0, 0, 0, 0, 6, 7, 12, 13, 12, East, 623, 622, East
0, 0, 0, 0, 5, 8, 12, 13, 12, East, 622, 621, East
0, 0, 0, 0, 4, 9, 12, 13, 12, East, 621, 620, East
0, 0, 0, 0, 3, 10, 12, 13, 12, East, 620, 619, East
0, 0, 0, 0, 2, 11, 12, 13, 12, East, 619, 618, East
0, 0, 0, 0, 1, 12, 12, 13, 12, East, 618, 817, East
0, 0, 0, 0, 0, 13, 12, 1, 1, West, 817, 817, East

7, 11, 9, 5, 3, 12, 10, 13, 12, North, -1, -2, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -2, -3, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -3, -4, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -4, -5, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -5, -6, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -6, -7, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -7, -8, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -8, -9, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -9, -10, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -10, -11, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -11, -12, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -12, -13, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -13, -14, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -14, -15, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -15, -16, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -16, -17, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -17, -18, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -18, -19, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -19, -20, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -20, -21, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -21, -22, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -22, -23, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -23, -24, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -24, -25, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -25, -26, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -26, -27, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -27, -28, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -28, -29, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -29, -30, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -30, -31, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -31, -32, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -32, -33, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -33, -34, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -34, -35, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -35, -36, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -36, -37, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -37, -38, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -38, -39, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -39, -40, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -40, -41, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -41, -42, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -42, -43, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -43, -44, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -44, -45, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -45, -46, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -46, -47, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -47, -48, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -48, -49, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -49, -50, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -50, -51, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -51, -52, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -52, -53, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -53, -54, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -54, -55, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -55, -56, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -56, -57, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -57, -58, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -58, -59, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -59, -60, Stop

7, 11, 9, 5, 3, 12, 10, 13, 12, North, -1, -2, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -2, -3, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -3, -4, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -4, -5, Stop
7, 11, 9, 5, 3, 12, 10, 13, 12, North, -5, -6, Stop
6, 12, 10, 4, 2, 13, 10, 13, 12, North, -6, -7, East
7, 13, 9, 5, 1, 13, 11, 13, 12, North, -7, 192, North
8, 14, 8, 6, 0, 13, 12, 13, 6, South, 192, 191, North
7, 13, 9, 5, 0, 13, 11, 13, 6, South, 191, 190, South
6, 12, 10, 4, 0, 13, 10, 13, 6, South, 190, 189, South
5, 11, 11, 3, 0, 13, 9, 13, 6, South, 189, 188, South
6, 10, 12, 2, 0, 13, 8, 13, 6, South, 188, 187, South
7, 9, 13, 1, 0, 13, 7, 13, 6, South, 187, 386, South
8, 8, 14, 0, 0, 13, 6, 5, 6, West, 386, 385, South
9, 7, 13, 0, 0, 12, 6, 5, 6, West, 385, 384, West
10, 6, 12, 0, 0, 11, 6, 5, 6, West, 384, 383, West
11, 5, 11, 0, 0, 10, 6, 5, 6, West, 383, 382, West
12, 4, 10, 0, 0, 9, 6, 5, 6, West, 382, 381, West
13, 3, 9, 0, 0, 8, 6, 5, 6, West, 381, 380, West
14, 2, 8, 0, 0, 7, 6, 5, 6, West, 380, 379, West
15, 1, 7, 0, 0, 6, 6, 5, 6, West, 379, 578, West
16, 0, 6, 0, 0, 5, 6, 5, 12, North, 578, 577, West
15, 0, 5, 0, 0, 5, 7, 5, 12, North, 577, 576, North
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 576, 575, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 575, 574, North
12, 0, 4, 0, 0, 6, 9, 5, 12, North, 574, 573, East
13, 0, 3, 0, 0, 6, 10, 5, 12, North, 573, 572, North
14, 0, 2, 0, 0, 6, 11, 5, 12, West, 572, 571, North
15, 0, 1, 0, 0, 6, 12, 5, 12, West, 571, 770, North
16, 0, 0, 0, 0, 5, 12, 1, 1, South, 770, 770, West
8, 12, 8, 6, 2, 12, 11, 13, 12, East, -1, North
9, 13, 7, 7, 1, 12, 12, 13, 12, East, -2, North
8, 14, 8, 6, 0, 13, 12, 13, 6, South, 197, East
7, 13, 9, 5, 0, 13, 11, 13, 6, South, 196, South
6, 12, 10, 4, 0, 13, 10, 13, 6, South, 195, South
5, 11, 11, 3, 0, 13, 9, 13, 6, South, 194, South
6, 10, 12, 2, 0, 13, 8, 13, 6, South, 193, South
7, 9, 13, 1, 0, 13, 7, 13, 6, South, 192, South
8, 8, 14, 0, 0, 13, 6, 5, 6, West, 391, South
9, 7, 13, 0, 0, 12, 6, 5, 6, West, 390, West
10, 6, 12, 0, 0, 11, 6, 5, 6, West, 389, West
11, 5, 11, 0, 0, 10, 6, 5, 6, West, 388, West
12, 4, 10, 0, 0, 9, 6, 5, 6, West, 387, West
13, 3, 9, 0, 0, 8, 6, 5, 6, West, 386, West
14, 2, 8, 0, 0, 7, 6, 5, 6, West, 385, West
15, 1, 7, 0, 0, 6, 6, 5, 6, West, 384, West
16, 0, 6, 0, 0, 5, 6, 5, 12, North, 583, West
15, 0, 5, 0, 0, 5, 7, 5, 12, North, 582, North
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 581, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 580, North
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 579, South
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 578, North
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 577, West
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 576, East
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 575, South
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 574, North
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 573, South
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 572, North
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 571, West
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 570, East
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 569, West
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 568, East
12, 0, 4, 0, 0, 6, 9, 5, 12, North, 567, East
13, 0, 3, 0, 0, 6, 10, 5, 12, North, 566, North
14, 0, 2, 0, 0, 6, 11, 5, 12, West, 565, North
15, 0, 1, 0, 0, 6, 12, 5, 12, West, 564, North
16, 0, 0, 0, 0, 5, 12, 1, 1, South, 763, West
16, 0, 0, 0, 0, 5, 12, 1, 1, South, 763, West
8, 12, 8, 6, 2, 12, 11, 13, 12, East, -1, North
9, 13, 7, 7, 1, 12, 12, 13, 12, East, -2, North
8, 14, 8, 6, 0, 13, 12, 13, 6, South, 197, East
7, 13, 9, 5, 0, 13, 11, 13, 6, South, 196, South
6, 12, 10, 4, 0, 13, 10, 13, 6, South, 195, South
5, 11, 11, 3, 0, 13, 9, 13, 6, South, 194, South
6, 10, 12, 2, 0, 13, 8, 13, 6, South, 193, South
7, 9, 13, 1, 0, 13, 7, 13, 6, South, 192, South
8, 8, 14, 0, 0, 13, 6, 5, 6, West, 391, South
9, 7, 13, 0, 0, 12, 6, 5, 6, West, 390, West
10, 6, 12, 0, 0, 11, 6, 5, 6, West, 389, West
11, 5, 11, 0, 0, 10, 6, 5, 6, West, 388, West
12, 4, 10, 0, 0, 9, 6, 5, 6, West, 387, West
13, 3, 9, 0, 0, 8, 6, 5, 6, West, 386, West
14, 2, 8, 0, 0, 7, 6, 5, 6, West, 385, West
15, 1, 7, 0, 0, 6, 6, 5, 6, West, 384, West
16, 0, 6, 0, 0, 5, 6, 5, 12, North, 583, West
15, 0, 5, 0, 0, 5, 7, 5, 12, North, 582, North
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 581, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 580, North
12, 0, 4, 0, 0, 6, 9, 5, 12, North, 579, East
13, 0, 3, 0, 0, 6, 10, 5, 12, North, 578, North
14, 0, 2, 0, 0, 6, 11, 5, 12, West, 577, North
15, 0, 1, 0, 0, 6, 12, 5, 12, West, 576, North
16, 0, 0, 0, 0, 5, 12, 1, 1, South, 775, West
16, 0, 0, 0, 0, 5, 12, 1, 1, South, 775, West
8, 12, 8, 6, 2, 12, 11, 13, 12, East, -1, North
9, 13, 7, 7, 1, 12, 12, 13, 12, East, -2, North
8, 14, 8, 6, 0, 13, 12, 13, 6, South, 197, East
7, 13, 9, 5, 0, 13, 11, 13, 6, South, 196, South
6, 12, 10, 4, 0, 13, 10, 13, 6, South, 195, South
5, 11, 11, 3, 0, 13, 9, 13, 6, South, 194, South
6, 10, 12, 2, 0, 13, 8, 13, 6, South, 193, South
7, 9, 13, 1, 0, 13, 7, 13, 6, South, 192, South
8, 8, 14, 0, 0, 13, 6, 5, 6, West, 391, South
9, 7, 13, 0, 0, 12, 6, 5, 6, West, 390, West
10, 6, 12, 0, 0, 11, 6, 5, 6, West, 389, West
11, 5, 11, 0, 0, 10, 6, 5, 6, West, 388, West
12, 4, 10, 0, 0, 9, 6, 5, 6, West, 387, West
13, 3, 9, 0, 0, 8, 6, 5, 6, West, 386, West
14, 2, 8, 0, 0, 7, 6, 5, 6, West, 385, West
15, 1, 7, 0, 0, 6, 6, 5, 6, West, 384, West
16, 0, 6, 0, 0, 5, 6, 5, 12, North, 583, West
15, 0, 5, 0, 0, 5, 7, 5, 12, North, 582, North
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 581, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 580, North
12, 0, 4, 0, 0, 6, 9, 5, 12, North, 579, East
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 578, West
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 577, West
15, 0, 5, 0, 0, 4, 8, 5, 12, North, 576, South
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 575, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 574, East
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 573, West
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 572, East
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 571, East
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 570, South
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 569, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 568, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 567, North
